english	translation	category	sub_category	source
Looks after your farming tools.	あなたののうぐのめんどうをみてくれる。	examine	npc	Tool Leprechaun
A strange mole-like being.	もぐらみたいなふしぎないきもの。	examine	npc	Molanisk
A very smelly ghost.	とてもくさいゆうれい。	examine	npc	Aberrant spectre
An evil death demon.	じゃあくなしのあくま。	examine	npc	Nechryael
Reminds me of playing pooh sticks.	みずであそぶことをおもいださせる。	examine	npc	Twig
An evil death spawn.	じゃあくなしのたんじょう。	examine	npc	Death spawn
It's another jolly tree gnome.	もうひとりのようきなきのようせい。	examine	npc	Hudo
A fan of Niles, Miles and Giles.	ナイルズ、マイルズ、ガイルズにあこがれたおとこ。	examine	npc	Piles
It's a well dressed tree gnome.	よくしたくしたきのようせい。	examine	npc	Rometti
He sells weapons.	かれはぶきをうっている。	examine	npc	Gulluck
A carpet merchant.	かーぺっとのしょうにん。	examine	npc	Rug Merchant
A man who deals in rugs.	かーぺっとをあつかうおとこ。	examine	npc	Rug Merchant
Perhaps our oldest relatives?	たぶんおれたちのもっともとしいしんせき？	examine	npc	Monkey
Dead man walking.	あるいているしんだおとこ。	examine	npc	Zombie
Dead woman walking.	あるいているしんだおんな。	examine	npc	Zombie
The walking dead.	あるいているしにがえり。	examine	npc	Zombie
The living dead.	いきているしにがえり。	examine	npc	Summoned Zombie
Could do with gaining a few pounds.	いくらかふえてほしい。	examine	npc	Skeleton
An undead worker of dark magic.	くろいまじゅつのしんだはたらきて。	examine	npc	Skeleton Mage
Eeek! A ghost!	きゃあ！ゆうれい！	examine	npc	Ghost
No one likes crabs...	だれもかにがすきではない。	examine	npc	Rock Crab
A rocky outcrop.	いわばかりのとっぱ。	examine	npc	Rocks
Hello, nice doggy...	こんにちは、いいいぬ。	examine	npc	Hellhound
Not man's best friend.	おとこのもっともいいともだちではない。	examine	npc	Wolf
A vicious mountain wolf.	はげしいやまのおおかみ。	examine	npc	White wolf
Must be the pack leader.	みんなのりーだーだろう。	examine	npc	Big Wolf
A social killer.	しゃこうてきなころしや。	examine	npc	Wolf
Bow wow.	ワンワン。	examine	npc	Dog
Looks like it's got Rabies!	きょうけんびょうにかかっているみたい！	examine	npc	Wild dog
An unsuitable pet.	ふさわしくないペット。	examine	npc	Wild dog
He doesn't seem pleased to see me.	わたしをみてうれしくなさそうだ。	examine	npc	Guard dog
The Master of Fire!	ひのマスター！	examine	npc	Ignatius Vulcan
And with its head he came galumphing back.	そしてそのあたまでかれはどんどんもどりってきた。	examine	npc	Crawling hand
I'm glad I can't see the rest of it!	のこりがみえなくてよかった！	examine	npc	Tentacle
He guards the dungeon with the faithfulness of the undead.	しかばねのようなちゅうじゅつさで、だんじょんをまもっている。	examine	npc	Skeleton
Beware of the dog!	いぬにきをつけろ！	examine	npc	Guard dog
He doesn't look very welcoming.	あまりかんげいしてくれないみたいだ。	examine	npc	Hobgoblin
A pet Troll.	ペットのトロール。	examine	npc	Troll
No spider could grow that big! It's unrealistic!	くもはそんなおおきくなれないはずだ！ありえない！	examine	npc	Huge spider
Good doggy...	いいこ、わんわん...	examine	npc	Hellhound
He's full of pent-up aggression.	ぞうあつされたきょうぼうであふれている。	examine	npc	Ogre
Young, but still dangerous.	わかいけど、やはりきけんだ。	examine	npc	Baby red dragon
I don't think insect repellent will work...	むしよけはきかないとおもう...	examine	npc	Kalphite Soldier
Its scales seem to be made of steel.	うろこがてつでできているようだ。	examine	npc	Steel dragon
A darkened horror from the ocean depths.	うみのふかさからきたくらいおそろしいもの。	examine	npc	Dagannoth
I don't like the look of those spines...	あのとげはいやだな...	examine	npc	Tok-Xil
Arrgh! Look at its pointy teeth!	ぎゃあ！あのするどいはをみろ！	examine	npc	Demon
It's full of pent-up aggression.	ぞうあつされたきょうぼうであふれている。	examine	npc	Rocnar
Guess right or the mannequin gets it!	あてるか、あのにんぎょうがたべられるぞ！	examine	npc	Hangman game
Have you tried 'E' yet?	まだ「い」をためしてない？	examine	npc	Hangman game
Not doing very well, are you?	あんまりうまくいってないね。	examine	npc	Hangman game
Be careful! One wrong move and he's had it!	あぶない！ひとつまちがえたら、あのひとはだめだ！	examine	npc	Hangman game
Oh no! He's been hanged!	あ、だめだ！つるされちゃった！	examine	npc	Hangman game
Where is she hiding the treasure?	かのじょはほうきをどこにかくしているの？	examine	npc	Treasure fairy
A wacky Jester.	よろこぶ、ふざけたぴえろ。	examine	npc	Jacky Jester
It's destroyed!	こわされちゃった！	examine	npc	Combat stone
Try to damage it!	ダメージをあたえてみろ！	examine	npc	Combat stone
He wears a hat to hide the fact that he's bald.	ぼうずであることをかくすためにぼうしをかぶっている。	examine	npc	Rick
Very neat.	とてもきれい。	examine	npc	Maid
I hope she can find all the ingredients!	かのじょがぜんぶのざいりょうをみつけられるといいな！	examine	npc	Cook
He knows how to buttle.	しもべとしてのしごとをしっている。	examine	npc	Butler
Blimey, a Demon Butler!	えっ、あくまのしもべだ！	examine	npc	Demon butler
A rare jungle wolf - specific to the Kharazi jungle.	めずらしいジャングルのおおかみ　- カラジジャングルにだけいる。	examine	npc	Jungle Wolf
Beak areful with this one, he looks shifty!	このやつにきをつけろ、いかがわしくみえる！	examine	npc	Macaroni Penguin
These look much better in the wild.	やせいではもっときれいにみえる。	examine	npc	Butterfly
I love butterflies.	ちょうちょうがすき。	examine	npc	Butterfly
It's a Blue Morpho Butterfly.	あおいモルフォチョウだ。	examine	npc	Butterfly
It's a Tiger Swallowtail Butterfly.	トラアゲハチョウだ。	examine	npc	Butterfly
It's a Viceroy Butterfly.	バイスロイチョウだ。	examine	npc	Butterfly
One of the biggest, meanest dragons around.	もっともおおきくて、きついりゅうのひとつ。	examine	npc	King Black Dragon
A big, scary, jet-black demon.	おおきくて、こわい、ぜんぶくろいあくま。	examine	npc	Black demon
Young but still dangerous.	わかいけど、やはりきけんだ。	examine	npc	Baby blue dragon
A big powerful dragon.	おおきくてつよいりゅう。	examine	npc	Red dragon
A fierce dragon with black scales!	くろいうろこのはげしいりゅう！	examine	npc	Black dragon
Must be related to Elvarg.	エルバーグのなかまだろう。	examine	npc	Green dragon
A mother dragon.	おかあさんドラゴン。	examine	npc	Blue dragon
Its scales seem to be made of bronze.	うろこがどうでできているようだ。	examine	npc	Bronze dragon
Its scales seem to be made of iron.	うろこがてつでできているようだ。	examine	npc	Iron dragon
Get useful information from this guy.	このやつからやくにたつじょうほうをもらえる。	examine	npc	Town Crier
A sea bird.	うみとり。	examine	npc	Gull
It's totally savage.	とても、あくどい。	examine	npc	Ghoul
A short angry guy.	ちいさくておこっているおとこ。	examine	npc	Dwarf
A dwarf gone bad.	わるくなったこびと。	examine	npc	Chaos dwarf
A mountain dwelling short angry guy.	やまにすむちいさくておこっているおとこ。	examine	npc	Dwarf
A seasoned adventurer taking a short break on his journey.	たびをしているへけんぶかいぼうけんしゃが、ちょっときゅうけいしている。	examine	npc	Adventurer Jon
Loves mining.	さんこつがすき。	examine	npc	Dwarf
A retired dwarf.	たいしょくしたこびと。	examine	npc	Thordur
A mighty warrior!	つよいせんし！	examine	npc	Gunthor the brave
Guards prisoners for the black knights.	くろきしに、しゅうようにんをまもっている。	examine	npc	Jailer
Has a fearsome scowl.	こわいかおをしている。	examine	npc	Black Heather
Has a fearsome posture.	こわいすがたをしている。	examine	npc	Donny the lad
Nice hair.	いい、かみだ。	examine	npc	Speedy Keith
Twisted by name, twisted by nature.	なまえもくせも、ねじれている。	examine	npc	Salarin the twisted
The local shopkeeper.	ちいさいまちの、みせのひと。	examine	npc	Jennifer
He provides new players with useful information.	あたらしいプレイヤーにやくにたつじょうほうをあたえる。	examine	npc	Lumbridge Guide
He looks relieved.	ほっとしているようにみえる。	examine	npc	Dr Jekyll
A shady and mysterious figure.	いかがわしくて、なぞめいたすがたをしている。	examine	npc	Emblem Trader
For Mod Reach.	モッドリーチのために。	examine	npc	Reacher
This gardener might look after your cactus for you.	このえんていがあなたのサボテンをせわしてくれるかもしれない。	examine	npc	Ayesha
He can tell you about being an Ironman.	アイアンマンについておしえてくれる。	examine	npc	Ironman tutor
A frog.	かえる。	examine	npc	Frog
He can tell you all about Leagues.	リーグについてぜんぶおしえてくれる。	examine	npc	Leagues Tutor
Isn't so annoying when in pet form.	ペットのすがたのときはあんなにうるさくない。	examine	npc	Dark core
A vision of supernatural horror.	きぎょうはばつてきなおそろしさ。	examine	npc	Corporeal Beast
A small being of dark energy.	ちいさいくろいエネルギーのいきもの。	examine	npc	Dark energy core
A mute performer.	おしえて、えんじゃー。	examine	npc	Mime
He's had a fair bit to drink...	いっぱいのんでいる...	examine	npc	Drunken Dwarf
A very strange plant.	とてもおかしなしょくぶつ。	examine	npc	Strange plant
Maybe he'll grant me a wish...	ねがいごとをかなえてくれるかもしれない。	examine	npc	Genie
A swarm of insects.	むしのむれ。	examine	npc	Swarm
A member of the audience.	かんきゃくのひとり。	examine	npc	Strange watcher
Drill Sergeant from heck!	じゃんどうがきついせージェント！	examine	npc	Sergeant Damien
Is she the one?	かのじょがそのひと？	examine	npc	Suspect
AKA Goody Two Shoes.	つまり、いいこ。	examine	npc	Molly
He wants to escape!	かれはにげたい！	examine	npc	Prison Pete
It looks like an animal.	どうぶつみたいにみえる。	examine	npc	Balloon Animal
He's at home in the forests.	かれはもりでくらしている。	examine	npc	Freaky Forester
A brightly coloured game bird.	あざやかないろのゲームのとり。	examine	npc	Pheasant
A Masked Highwayman.	めんをかぶった、どろぼう。	examine	npc	Rick Turpentine
Sweet dreams are most definitely not made of this.	いいゆめはぜったいこれではできない。	examine	npc	Phosani's Nightmare
Apparently a master of quizzes!	どうやらクイズのマスターのようだ！	examine	npc	Quiz Master
A law enforcer.	ほうりつをしきる、ひと。	examine	npc	Pillory Guard
A man down on his luck.	うんのわるいおとこ。	examine	npc	Tramp
A well dressed nobleman.	いいきものを、きた、きょくしん。	examine	npc	Man
Hey, it's Bob the cat! Or... is it?	あ、ボブというねこだ！でも、ほんと？	examine	npc	Evil Bob
Servant of Evil Bob.	わるいボブのしもべ。	examine	npc	Servant
I can see fish swimming in the water.	みずのなかをおよいでいるさかながみえる。	examine	npc	Rod Fishing spot
Meow meow boo.	ニャーニャーぶう。	examine	npc	Cat
You want a piece of his mind? That's fine.	かれのあたまのなかをみたい？いいよ。	examine	npc	Jon
He tries to keep order around here.	ここをすいりもっぱていこうとしている。	examine	npc	Guard
He looks dangerous!	かれはきけんにみえます！	examine	npc	Turael
She looks dangerous!	あぶなくみえる！	examine	npc	Chaeldar
A spiky crawling critter.	とげとげの、のいもの。	examine	npc	Cave crawler
Large, heavy, with sharp things attached to its head.	おおきくて、おもくて、あたまにするどいものがついている。	examine	npc	Kurask
Larger, heavier, with sharper things attached to its head.	もっとおおきくて、もっとおもくて、もっとするどいものがついている。	examine	npc	Kurask
Flies like a rock.	いしみたいに、かるくとびぶ。	examine	npc	Gargoyle
A tortured screaming soul.	きかれて、さけんでいるたましい。	examine	npc	Banshee
A denizen of the Abyss!	あびすのすみか！	examine	npc	Abyssal demon
The eyes of evil.	あくまのめ。	examine	npc	Basilisk
The winged reptile.	はねのある、はちゅうるい。	examine	npc	Cockatrice
The slime of evil.	あくまのぬめぬめ。	examine	npc	Rockslug
The vacuumed face of evil.	あくまのふうきんかお。	examine	npc	Dust devil
Spawn of Darkness.	くらやみのこ。	examine	npc	Skotos
He's one leg short!	あしがひとつたりない！	examine	npc	Turoth
He's one big leg short!	おおきいあしがひとつたりない！	examine	npc	Turoth
She's one leg short!	あしがひとつたりない！	examine	npc	Turoth
It's one leg short!	あしがひとつたりない！	examine	npc	Turoth
It's one small leg short!	ちいさいあしがひとつたりない！	examine	npc	Turoth
A small fire demon.	ちいさいひあくま。	examine	npc	Pyrefiend
Looks scared to see me.	わたしをみてこわがっている。	examine	npc	Jelly
Doesn't look so tough...	つよそうには、みえない。	examine	npc	Jelly
Wibbly.	ふらふら。	examine	npc	Jelly
There's always room for jelly.	ゼリーのばあいは、いつもばあい、あります。	examine	npc	Jelly
Needs cream.....	クリームが、ひつよう。	examine	npc	Jelly
Wobbly...	ぐらぐら。	examine	npc	Jelly
An evil magic user.	あくまのまほうつかい。	examine	npc	Infernal Mage
Gimmie five.  Actually, don't.	ハイタッチ、やっぱり、よそう。	examine	npc	Crawling Hand
Now THAT's handy.	あ、べんり。	examine	npc	Crawling Hand
I'm glad its just the hand I can see...	てだけみえてよかった...	examine	npc	Crawling Hand
A big severed hand.	おおきいきられたて。	examine	npc	Crawling Hand
Give the guy a big hand.....	そのやつにおおきなかっさいをしよう...	examine	npc	Crawling Hand
Run away, it's massive!	にげろ、おそろしいぞ！	examine	npc	Lizard
A cold-blooded creature, partial to warmth.	あたたかいのがすきな、れいけつないきもの。	examine	npc	Desert Lizard
A small cold-blooded creature, partial to warmth.	あたたかいのがすきな、ちいさい、れいけつないきもの。	examine	npc	Small Lizard
A swarm of bugs.	むしのむれ。	examine	npc	Harpie Bug Swarm
A very dangerous pile of animated wyvern bones.	とてもきけんな、うごいているワイバーンのほねのやま。	examine	npc	Skeletal Wyvern
An angry electrical shock!	おこっているでんきのしょげき！	examine	npc	Killerwatt
A ball of electrical energy.	でんきエネルギーのたま。	examine	npc	Killerwatt
What could be hiding in that crack in the wall?	かべのひびのなかに、なにがかくれているのかな？	examine	npc	Hole in the wall
A big, scary hand!	おおきくて、こわいて！	examine	npc	Wall beast
It didn't get that big eating flies.	あのおおきさは、ハエをたべるだけじゃできない。	examine	npc	Giant frog
It eats flies.	ハエをたべる。	examine	npc	Frog
A foul-smelling blob of protoplasm.	いやなにおいのする、げんいぶっしつのどろんどろん。	examine	npc	Cave slime
A nasty crawling critter.	いやな、のいもの。	examine	npc	Cave bug
A little, slimy beetle-thing.	ちいさい、ぬるぬる、こむしだ。	examine	npc	Cave bug larva
A big, smelly cave dweller.	おおきくて、においがしてくる、ほらあなのすまい。	examine	npc	Cave bug
The tongue of evil.	あくまのした。	examine	npc	Bloodveld
A very small storm!	とてもちいさいあらし！	examine	npc	Storm Cloud
Looks like a zoo keeper who got overwhelmed by his work.	しごとがおおすぎて、ひどくなった、どうぶつえんのせんもん。	examine	npc	Entomologist
Kraken' good time!	クラーケンのいいじかん！	examine	npc	Cave kraken
Something's lurking beneath the water.	みずのしたになにかかくれている。	examine	npc	Whirlpool
We'll fight, until world's end.	せかいのおわりまで、たたかうぞ。	examine	npc	Kraken
Vacuum proof.	そうじきの、すきます。	examine	npc	Venenatis spiderling
Something big lurking beneath the water.	みずのしたにおおきいなにかかくれている。	examine	npc	Whirlpool
Bear-ly smaller than his father.	おとうさんより、すこし、ちいさい。	examine	npc	Callisto cub
Stay away from smoke, kids.	けむり、ちかづくな、こどもたち。	examine	npc	Smoke devil
Woah.	おぉ。	examine	npc	Thermonuclear smoke devil
She's a seed merchant.	かのじょは、たねや。	examine	npc	Olivia
She sells farming equipment.	かのじょはのうぎをうりっている。	examine	npc	Sarah
He sells farming equipment.	かれはのうぎをうりっている。	examine	npc	Richard
A servant to Iban.	イバンのしもべ。	examine	npc	Soulless
A shadowy, barely visible flying entity from some evil place.	いかがわしいところから、ぼんやりとした、ほとんどみえない、ひこうしているなにか。	examine	npc	Death wing
A practicer of dark arts.	くらいじゅつをべんきょうしているひと。	examine	npc	Dark wizard
An evil user of Magic powers	あくまのまほうちからつかい	examine	npc	Invrigar the Necromancer
He works evil magic.	かれはあくまのまほうをつかっている。	examine	npc	Dark wizard
He jumps out and attacks people.	かれはびっくりさせて、こうげきする。	examine	npc	Mugger
The hat's a dead give away.	そのぼうしはあかしだ。	examine	npc	Witch
A dark-hearted knight.	くらいこころのナイト。	examine	npc	Black Knight
He holds up passers by.	かれはとおりかかったひとをおどしている。	examine	npc	Highwayman
A crazy, evil druid.	キちがいで、あくまな、ドルイド。	examine	npc	Chaos druid
Yar! Shiver me timbers!	あ！こわい！	examine	npc	Pirate
Avast ye scurvy land lubbers!	ちょっと、まってね、あんない。	examine	npc	Pirate
This one's had too much to drink!	このやつはのみすぎた！	examine	npc	Pirate
A fine example of piracy's equal opportunities program.	かいぞくのくうしおいとつのいいれい。	examine	npc	Pirate
Low on brains, high on aggression.	あたまがあくて、きょうぼうがつよい。	examine	npc	Thug
Rogueish.	いたずらっぽい。	examine	npc	Rogue
An evil human cleric.	あくまなにんげんのしろくて。	examine	npc	Monk of Zamorak
A vicious warrior.	ぶきょうなせんし。	examine	npc	Tribesman
A warrior touched by chaos.	こんらんによってさわったせんし。	examine	npc	Dark warrior
A crazy evil druid.	キちがいで、あくまな、ドルイドせんし。	examine	npc	Chaos druid warrior
A fun guy. No wait, that's awful. Plus it doesn't even make sense.	たのしいやつ。あ、ちがった、ひどい。それでも、わけわからない。	examine	npc	Fungi
A bouncy fungus.	ぴょんぴょん、きのこ。	examine	npc	Zygomite
A player.	あそびてだ。	examine	npc	Elfinlocks
An amazing piece of Crafting.	すばらしいモノづくり。	examine	npc	Clockwork cat
Holier than thou.	もっと、せいなる。	examine	npc	Monk
There's something strange about him...	あいつになにかおかしなことがある...	examine	npc	Rufus
Little. Evil. Different.	ちいさい。あくま。ちがう。	examine	npc	Mi-Gor
I'd prefer it if it were a muffin...	マフィンだったらいいのに...	examine	npc	Puffin
It's rocking out.	ぎゃくぎゃく、やっている。	examine	npc	Puffin
He's looked healthier.	もっと、げんきそうだった。	examine	npc	Brother Tranquility
Much holier than thou.	ずっと、せいなるほう。	examine	npc	Brother Tranquility
Looked better.	もっと、よかった。	examine	npc	Zombie monk
Bedside manner is a little lacking, I think.	ベッドのそばでのふるまいがちょっときたいない、とおもう。	examine	npc	Sorebones
I hope his hands don't shake.	ては、ふるえないことを、ねがおう。	examine	npc	Sorebones
Aaaarg, me hearty!	あああ、わたしの、あしぞ。	examine	npc	Zombie pirate
It's trying to mash you flat! Less examine, more fight!	あなたをぺしゃんこにしようとしている！もっとせんえ！	examine	npc	Barrelchest
A shifty-looking character.	さからわしい、ようすの、ひと。	examine	npc	Pirate Pete
A shabby-looking leader.	ぼろぼろの、りーだー。	examine	npc	Captain Braindeath
Most of an angry, undead sea scoundrel.	ほぼ、おこっている、しんでいない、うみのあくどいやつ。	examine	npc	50% Luke
Looks like he's taking a break.	かれはきゅうけいしているみたいだ。	examine	npc	Davey
I wonder if it was all the 'rum' that pickled him.	あのラムがぜんぶ、あいつをびんづけにしたのかな。	examine	npc	Captain Donnie
Sticking it to 'The Man'.	「そのおとこ」をやっつけている。	examine	npc	Zombie protester
An undead sea scoundrel.	しんでいない、うみのあくどいやつ。	examine	npc	Zombie pirate
He talks a good fight.	かれはいいせんいをしゃべっている。	examine	npc	Zombie swab
The pun was intended.	だじゃれはわざとです。	examine	npc	Evil spirit
A bunch of legs, eyes and teeth.	あしと、めと、はのかたまり。	examine	npc	Fever spider
A worker in the brewery.	びールこうじょうのわーかー。	examine	npc	Brewer
It's a sinister-looking squid-type thing.	あくいの、いかみたいなもの。	examine	npc	Karamthulhu
One of King Tyras's men.	キング・タイラスのしんぶん。	examine	npc	Tyras guard
A frail little troll.	よわっちい、ちいさい、トロール。	examine	npc	Ug
A beautiful troll.	きれいなトロール。	examine	npc	Aga
A massive, scary-looking troll.	おおきな、こわい、トロール。	examine	npc	Arrg
Brrrrr...he must be cold!	ぶるぶる...あいつはさむいんだろう！	examine	npc	Ice Troll
An ugly goblin... bleurgh!	みにくいゴブリン... うえ！	examine	npc	Goblin
An ugly green creature.	みにくいみどりのいきもの。	examine	npc	General Bentnoze
Smaller than the average goblin.	ふつうのゴブリンより、ちいさい。	examine	npc	Grubfoot
A travelling merchant.	たびする、あきんど。	examine	npc	Rasolo
A giant skeleton.	きょだい、ほねほね。	examine	npc	Giant skeleton
The warrior of darkness.	せんしのくらやみ。	examine	npc	Damis
Very mysterious looking...	とてもふしぎそうにみえる...	examine	npc	Stranger
One of Morytania's vampyric nobility.	モリタニアのヴァンパイアのきぞく。	examine	npc	Malak
Looks like a rough-and-ready type.	あらっぽくて、いつでもできるタイプそうだ。	examine	npc	Bartender
A very distinguished looking man.	とてもたてはにみえるおとこ。	examine	npc	Eblis
A tough-looking criminal.	つよそうな、ほうはん。	examine	npc	Bandit
A little ice troll.	ちいさいこおりのトロール。	examine	npc	Troll child
An ice troll.	こおりのトロール。	examine	npc	Ice troll
A troll frozen in a block of ice.	こおりのかたまりにこおっているトロール。	examine	npc	Ice block
Highly flammable!	ひじょうに、もえやすい。	examine	npc	Mummy
A tightly-wrapped monster.	きっちり、つつんだ、バケモノ。	examine	npc	Mummy ashes
A tightly wrapped monster.	きっちり、つつんだ、バケモノ。	examine	npc	Mummy ashes
Spooky, bandaged dead dude.	こわい、ほうたいにまいた、しんだやつ。	examine	npc	Mummy
A victim of poor first aid.	へたなおうきゅうてあてのひかくしゃ。	examine	npc	Mummy
But who's the daddy?	でも、おちちさんはだれ？	examine	npc	Mummy
