english	translation	category	sub_category	source
XP drops	XPドロップ	name	menu	
Quick-prayers	そくいきのいのり	name	menu	
Special Attack	ひっさつわざ	name	menu	
Instance Map	インスタンスのちず	name	menu	
Ground Markers	じめんマーカー	name	menu	
Wiki	ウィキけんさく	name	menu	
Attack	こうげき	name	menu	
Hitpoints	たいりょく	name	menu	
Mining	さいくつ	name	menu	
Strength	わんりょく	name	menu	
Agility	うんどうしんけい	name	menu	
Smithing	かじ	name	menu	
Defence	しゅびりょく	name	menu	
Herblore	ちょうごう	name	menu	
Fishing	つり	name	menu	
Ranged	えんしゃ	name	menu	
Thieving	ぬすみ	name	menu	
Cooking	りょうり	name	menu	
Prayer	いのり	name	menu	
Crafting	こうさく	name	menu	
Firemaking	ひおこし	name	menu	
Magic	まほう	name	menu	
Fletching	もくざいかこう	name	menu	
Woodcutting	きこり	name	menu	
Runecraft	ルーンさくり	name	menu	
Slayer	とうばつ	name	menu	
Farming	のうぎょう	name	menu	
Construction	けんちく	name	menu	
Hunter	かりゅうど	name	menu	
Search	さがしす	name	menu	
Ardougne Elite Diary	アルドインのちょうきゅうにっき	name	menu	achievementDiaryTab
Ardougne Hard Diary	アルドインのじょうきゅうにっき	name	menu	achievementDiaryTab
Ardougne Medium Diary	アルドインのちゅうきゅうにっき	name	menu	achievementDiaryTab
Ardougne Easy Diary	アルドインのしょきゅうにっき	name	menu	achievementDiaryTab
Desert Elite Diary	さばくのちょうきゅうにっき	name	menu	achievementDiaryTab
Desert Hard Diary	さばくのじょうきゅうにっき	name	menu	achievementDiaryTab
Desert Medium Diary	さばくのちゅうきゅうにっき	name	menu	achievementDiaryTab
Desert Easy Diary	さばくのしょきゅうにっき	name	menu	achievementDiaryTab
Falador Elite Diary	ファラドーのちょうきゅうにっき	name	menu	achievementDiaryTab
Falador Hard Diary	ファラドーのじょうきゅうにっき	name	menu	achievementDiaryTab
Falador Medium Diary	ファラドーのちゅうきゅうにっき	name	menu	achievementDiaryTab
Falador Easy Diary	ファラドーのしょきゅうにっき	name	menu	achievementDiaryTab
Fremennik Elite Diary	フレメニックのちょうきゅうにっき	name	menu	achievementDiaryTab
Fremennik Hard Diary	フレメニックのじょうきゅうにっき	name	menu	achievementDiaryTab
Fremennik Medium Diary	フレメニックのちゅうきゅうにっき	name	menu	achievementDiaryTab
Fremennik Easy Diary	フレメニックのしょきゅうにっき	name	menu	achievementDiaryTab
Kandarin Elite Diary	カンダリンのちょうきゅうにっき	name	menu	achievementDiaryTab
Kandarin Hard Diary	カンダリンのじょうきゅうにっき	name	menu	achievementDiaryTab
Kandarin Medium Diary	カンダリンのちゅうきゅうにっき	name	menu	achievementDiaryTab
Kandarin Easy Diary	カンダリンのしょきゅうにっき	name	menu	achievementDiaryTab
Karamja Elite Diary	カラムジャのちょうきゅうにっき	name	menu	achievementDiaryTab
Karamja Hard Diary	カラムジャのじょうきゅうにっき	name	menu	achievementDiaryTab
Karamja Medium Diary	カラムジャのちゅうきゅうにっき	name	menu	achievementDiaryTab
Karamja Easy Diary	カラムジャのしょきゅうにっき	name	menu	achievementDiaryTab
Kourend & Kebos Elite Diary	クーレンドとケボスのちょうきゅうにっき	name	menu	achievementDiaryTab
Kourend & Kebos Hard Diary	クーレンドとケボスのじょうきゅうにっき	name	menu	achievementDiaryTab
Kourend & Kebos Medium Diary	クーレンドとケボスのちゅうきゅうにっき	name	menu	achievementDiaryTab
Kourend & Kebos Easy Diary	クーレンドとケボスのしょきゅうにっき	name	menu	achievementDiaryTab
Lumbridge & Draynor Elite Diary	ランブリッジとドレイナーのちょうきゅうにっき	name	menu	achievementDiaryTab
Lumbridge & Draynor Hard Diary	ランブリッジとドレイナーのじょうきゅうにっき	name	menu	achievementDiaryTab
Lumbridge & Draynor Medium Diary	ランブリッジとドレイナーのちゅうきゅうにっき	name	menu	achievementDiaryTab
Lumbridge & Draynor Easy Diary	ランブリッジとドレイナーのしょきゅうにっき	name	menu	achievementDiaryTab
