english	translation	category	sub_category	source
Tool Leprechaun	のうぐのレプラコーン	name	npc	Tool Leprechaun
Molanisk	モラニスク	name	npc	Molanisk
Aberrant spectre	いぎょうのぼうれい	name	npc	Aberrant spectre
Nechryael	ネクリャエル	name	npc	Nechryael
Twig	こえだ	name	npc	Twig
Death spawn	デス・スポーン	name	npc	Death spawn
Hudo	フード	name	npc	Hudo
Piles	パイルズ	name	npc	Piles
Rometti	ロメッチ	name	npc	Rometti
Gulluck	グルック	name	npc	Gulluck
Heckel Funch	ヘッケル・ファンチ	name	npc	Heckel Funch
Rug Merchant	カーペットしょうにん	name	npc	Rug Merchant
Monkey	サル	name	npc	Monkey
Zombie	ゾンビ	name	npc	Zombie
Summoned Zombie	しょうかんゾンビ	name	npc	Summoned Zombie
Skeleton	スケルトン	name	npc	Skeleton
Skeleton Mage	スケルトンのまじゅつし	name	npc	Skeleton Mage
Ghost	ゆうれい	name	npc	Ghost
Rock Crab	いわガニ	name	npc	Rock Crab
Rocks	がんせき	name	npc	Rocks
Hellhound	ヘルハウンド	name	npc	Hellhound
Wolf	オオカミ	name	npc	Wolf
White wolf	しろオオカミ	name	npc	White wolf
Big Wolf	だいきなオオカミ	name	npc	Big Wolf
Dog	いぬ	name	npc	Dog
Wild dog	やせいいぬ	name	npc	Wild dog
Guard dog	ばんけん	name	npc	Guard dog
Ignatius Vulcan	イグナチアス・バルカン	name	npc	Ignatius Vulcan
Crawling hand	はいうて	name	npc	Crawling hand
Cockatrice	コカトリス	name	npc	Cockatrice
Basilisk	バジリスク	name	npc	Basilisk
Kurask	クラスク	name	npc	Kurask
Abyssal demon	しんえんのあくま	name	npc	Abyssal demon
Left head	ひだりのあたま	name	npc	Left head
Middle head	しんちゅうのあたま	name	npc	Middle head
Right head	みぎのあたま	name	npc	Right head
Kalphite Queen	じょおうカルファイト	name	npc	Kalphite Queen
Tentacle	しょくしゅ	name	npc	Tentacle
Hobgoblin	ホブゴブリン	name	npc	Hobgoblin
Troll	トロール	name	npc	Troll
Huge spider	だいきなクモ	name	npc	Huge spider
Ogre	オーガ	name	npc	Ogre
Baby red dragon	よういあかりゅう	name	npc	Baby red dragon
Kalphite Soldier	へいたいカルファイト	name	npc	Kalphite Soldier
Steel dragon	こうてつのりゅう	name	npc	Steel dragon
Dagannoth	ダガノス	name	npc	Dagannoth
Tok-Xil	トク・ジル	name	npc	Tok-Xil
Demon	あくま	name	npc	Demon
Rocnar	ロクナー	name	npc	Rocnar
Hangman game	ハングマン・ゲーム	name	npc	Hangman game
Treasure fairy	たからものようせい	name	npc	Treasure fairy
Jacky Jester	どうけしジャッキー	name	npc	Jacky Jester
Combat stone	せんとうのいし	name	npc	Combat stone
Rick	リック	name	npc	Rick
Maid	メイド	name	npc	Maid
Cook	りょうりひと	name	npc	Cook
Butler	しつじ	name	npc	Butler
Demon butler	あくまのしつじ	name	npc	Demon butler
Jungle Wolf	ジャングル・オオカミ	name	npc	Jungle Wolf
Macaroni Penguin	マカロニ・ペンギン	name	npc	Macaroni Penguin
Butterfly	チョウ	name	npc	Butterfly
King Black Dragon	くろりゅうおう	name	npc	King Black Dragon
Black demon	くろあくま	name	npc	Black demon
Baby blue dragon	よういせいりゅう	name	npc	Baby blue dragon
Red dragon	あかりゅう	name	npc	Red dragon
Black dragon	くろりゅう	name	npc	Black dragon
Green dragon	みどりりゅう	name	npc	Green dragon
Blue dragon	せいりゅう	name	npc	Blue dragon
Bronze dragon	せいどうのりゅう	name	npc	Bronze dragon
Iron dragon	てつのりゅう	name	npc	Iron dragon
Town Crier	まちのふれやく	name	npc	Town Crier
Gull	カモメ	name	npc	Gull
Cormorant	ウ	name	npc	Cormorant
Pelican	ペリカン	name	npc	Pelican
Ghoul	グール	name	npc	Ghoul
Dwarf	ドワーフ	name	npc	Dwarf
Chaos dwarf	こんとんのドワーフ	name	npc	Chaos dwarf
Adventurer Jon	ぼうけんかジョン	name	npc	Adventurer Jon
Thordur	ソーヅー	name	npc	Thordur
Gunthor the brave	ゆうかんなグンソー	name	npc	Gunthor the brave
Jailer	かんまもり	name	npc	Jailer
Black Heather	くろいヘザー	name	npc	Black Heather
Donny the lad	わかものドニー	name	npc	Donny the lad
Speedy Keith	はやいケイス	name	npc	Speedy Keith
Salarin the twisted	ひねくれものサラリン	name	npc	Salarin the twisted
Jennifer	ジェニファー	name	npc	Jennifer
Lumbridge Guide	ランブリッジのあんないにん	name	npc	Lumbridge Guide
Dr Jekyll	ジェキルせんせい	name	npc	Dr Jekyll
Emblem Trader	エンブレムしょうにん	name	npc	Emblem Trader
Reacher	リーチャー	name	npc	Reacher
Ayesha	アイェシャ	name	npc	Ayesha
Ironman tutor	てつじんのしどうしゃ	name	npc	Ironman tutor
Frog	カエル	name	npc	Frog
Leagues Tutor	リーグのしどうしゃ	name	npc	Leagues Tutor
Dark core	あんこくのかく	name	npc	Dark core
Corporeal Beast	コーポリアル・ビースト	name	npc	Corporeal Beast
Dark energy core	あんこくエネルギーのかく	name	npc	Dark energy core
Mime	マイム	name	npc	Mime
Drunken Dwarf	よいったドワーフ	name	npc	Drunken Dwarf
Strange plant	ふしぎなしょくぶつ	name	npc	Strange plant
Genie	ジーニー	name	npc	Genie
Swarm	むしのむれ	name	npc	Swarm
Strange watcher	きみょうなかんさつもの	name	npc	Strange watcher
Sergeant Damien	ダミエンぐんそう	name	npc	Sergeant Damien
Suspect	ようぎしゃ	name	npc	Suspect
Molly	モリー	name	npc	Molly
Prison Pete	けいむしょのピート	name	npc	Prison Pete
Balloon Animal	ふうせんどうぶつ	name	npc	Balloon Animal
Freaky Forester	ぶきみなしんりんかん	name	npc	Freaky Forester
Pheasant	キジ	name	npc	Pheasant
Rick Turpentine	リック・ターペンタイン	name	npc	Rick Turpentine
Phosani's Nightmare	フォサーニのあくむ	name	npc	Phosani's Nightmare
The Nightmare	ザ・ナイトメア	name	npc	The Nightmare
Quiz Master	クイズのたつじん	name	npc	Quiz Master
Pillory Guard	さらしだいのえいへい	name	npc	Pillory Guard
Tramp	うろうもの	name	npc	Tramp
Man	しゅどう	name	npc	Man
Avan	アバン	name	npc	Avan
Dark Core	あんこくのかく	name	npc	Dark Core
Evil Bob	じゃあくなボブ	name	npc	Evil Bob
Trotters	トロッターズ	name	npc	Trotters
Servant	めしつかい	name	npc	Servant
Rod Fishing spot	さおのつりば	name	npc	Rod Fishing spot
Cat	ネコ	name	npc	Cat
Jon	ジョン	name	npc	Jon
Guard	えいへい	name	npc	Guard
Turael	ツラエル	name	npc	Turael
Mazchna	マズカナ	name	npc	Mazchna
Vannaka	バナカ	name	npc	Vannaka
Chaeldar	チャエルダー	name	npc	Chaeldar
Duradel	ヅラデル	name	npc	Duradel
Cave crawler	どうくつをはいうモノ	name	npc	Cave crawler
Gargoyle	ガーゴイル	name	npc	Gargoyle
Banshee	バンシー	name	npc	Banshee
Rockslug	いわナメクジ	name	npc	Rockslug
Dust devil	ダスト・デビル	name	npc	Dust devil
Skotos	スコトス	name	npc	Skotos
Turoth	ツーロス	name	npc	Turoth
Pyrefiend	パイヤーフィーンド	name	npc	Pyrefiend
Jelly	ゼリー	name	npc	Jelly
Infernal Mage	ごくえんのまじゅつし	name	npc	Infernal Mage
Crawling Hand	はいうて	name	npc	Crawling Hand
Lizard	トカゲ	name	npc	Lizard
Desert Lizard	さばくトカゲ	name	npc	Desert Lizard
Small Lizard	しょうさなトカゲ	name	npc	Small Lizard
Harpie Bug Swarm	ハーピーむしのむれ	name	npc	Harpie Bug Swarm
Skeletal Wyvern	ほねワイバーン	name	npc	Skeletal Wyvern
Killerwatt	キラーワット	name	npc	Killerwatt
Hole in the wall	かべのあな	name	npc	Hole in the wall
Wall beast	かべのけもの	name	npc	Wall beast
Giant frog	きょだいなカエル	name	npc	Giant frog
Big frog	だいきなカエル	name	npc	Big frog
Cave slime	どうくつスライム	name	npc	Cave slime
Cave bug	ドウクツムシ	name	npc	Cave bug
Cave bug larva	ドウクツムシのようちゅう	name	npc	Cave bug larva
Bloodveld	ブラッドヴェルド	name	npc	Bloodveld
Storm Cloud	ストーム・クラウド	name	npc	Storm Cloud
Entomologist	こんちゅうがくしゃ	name	npc	Entomologist
Cave kraken	どうくつクラーケン	name	npc	Cave kraken
Whirlpool	うずまき	name	npc	Whirlpool
Kraken	クラーケン	name	npc	Kraken
Venenatis spiderling	ヴェネナティスのようたい	name	npc	Venenatis spiderling
Callisto cub	カリストーのこグマ	name	npc	Callisto cub
Smoke devil	スモーク・デビル	name	npc	Smoke devil
Thermonuclear smoke devil	ねつかくスモーク・デビル	name	npc	Thermonuclear smoke devil
Olivia	オリビア	name	npc	Olivia
Sarah	サーラ	name	npc	Sarah
Vanessa	ヴァネッサ	name	npc	Vanessa
Richard	リチャード	name	npc	Richard
Alice	アリス	name	npc	Alice
Soulless	むたましい	name	npc	Soulless
Death wing	デス・ウイング	name	npc	Death wing
Dark wizard	あんこくのまほうつかい	name	npc	Dark wizard
Invrigar the Necromancer	ネクロマンサー・インブリガー	name	npc	Invrigar the Necromancer
Mugger	ごうとう	name	npc	Mugger
Witch	まじょ	name	npc	Witch
Black Knight	くろきし	name	npc	Black Knight
Highwayman	ハイウェイマン	name	npc	Highwayman
Chaos druid	こんとんドルイド	name	npc	Chaos druid
Pirate	かいぞく	name	npc	Pirate
Thug	あくとう	name	npc	Thug
Rogue	ローグ	name	npc	Rogue
Monk of Zamorak	ザモラックのそうりょ	name	npc	Monk of Zamorak
Tribesman	ぶぞくたみ	name	npc	Tribesman
Dark warrior	あんこくのせんし	name	npc	Dark warrior
Chaos druid warrior	こんとんドルイドのせんし	name	npc	Chaos druid warrior
Fungi	きんるい	name	npc	Fungi
Zygomite	ジゴマイト	name	npc	Zygomite
Elfinlocks	えるふぃんろっくす	name	npc	Elfinlocks
Clockwork cat	とけいじかけのネコ	name	npc	Clockwork cat
Monk	そうりょ	name	npc	Monk
Rufus	ルーファス	name	npc	Rufus
Mi-Gor	ミゴー	name	npc	Mi-Gor
Puffin	パフィン	name	npc	Puffin
Brother Tranquility	トランキリティあにさん	name	npc	Brother Tranquility
Zombie monk	そうりょゾンビ	name	npc	Zombie monk
Sorebones	ソーボーンズ	name	npc	Sorebones
Zombie pirate	かいぞくのゾンビ	name	npc	Zombie pirate
Barrelchest	バレルチェスト	name	npc	Barrelchest
Pirate Pete	かいぞくのピート	name	npc	Pirate Pete
Captain Braindeath	ブレインデスせんちょう	name	npc	Captain Braindeath
50% Luke	ルーク50％	name	npc	50% Luke
