english	translation	category	sub_category	source
Crate	はこ	name	object	Crate
Cave Entrance	どうくつのいりぐち	name	object	Cave Entrance
Door	ドア	name	object	Door
Broken multicannon	こわしれたマルチキャノン	name	object	Broken multicannon
Dwarf multicannon	ドワーフのマルチキャノン	name	object	Dwarf multicannon
Cannon base	たいほうのだい	name	object	Cannon base
Cannon stand	たいほうのスタンド	name	object	Cannon stand
Cannon barrels	たいほうのほうしん	name	object	Cannon barrels
Ladder	ハシゴ	name	object	Ladder
Rock pile	いわのやま	name	object	Rock pile
Mud pile	どろのやま	name	object	Mud pile
Railing	てすり	name	object	Railing
Mysterious statue	なぞのぞう	name	object	Mysterious statue
Sacks	ふくろ	name	object	Sacks
Clock spindle	とけいのスピンドル	name	object	Clock spindle
Lever	レバー	name	object	Lever
Gate	ゲート	name	object	Gate
Food trough	エサいりれ	name	object	Food trough
Wall Pipe	かべのパイプ	name	object	Wall Pipe
Fishing spot	つりば	name	object	Fishing spot
Water	みずをあげる	name	object	Water
Loose Railing	ゆるいフェンス	name	object	Loose Railing
Stairs	かいだん	name	object	Stairs
Vine	ツル	name	object	Vine
Chaos altar	こんとんのさいだん	name	object	Chaos altar
Giant crystal	きょだいなすいしょう	name	object	Giant crystal
Beehive	ハチのす	name	object	Beehive
Gangplank	わたしりいた	name	object	Gangplank
Large door	だいきなドア	name	object	Large door
Chest	たからばこ	name	object	Chest
Prison Gate	ろうやのとびら	name	object	Prison Gate
Lever bracket	レバーのそうちゃくくち	name	object	Lever bracket
Trapdoor	おちとしと	name	object	Trapdoor
Closed chest	とじたたからばこ	name	object	Closed chest
Open chest	ひらきいたたからばこ	name	object	Open chest
Cooking range	ガスレンジ	name	object	Cooking range
Party Balloon	パーティーふうせん	name	object	Party Balloon
Compost heap	たいひのやま	name	object	Compost heap
Fountain	ふんすい	name	object	Fountain
Rocks	がんせき	name	object	Rocks
Bookcase	ほんだな	name	object	Bookcase
Wall	かべ	name	object	Wall
Strange machine	ふしぎなきかい	name	object	Strange machine
Incinerator	しょうきゃくろ	name	object	Incinerator
Gnome glider	ノームのグライダー	name	object	Gnome glider
Crashed glider	ついらくしたグライダー	name	object	Crashed glider
Blurberry bar	ブラーベリーのバー	name	object	Blurberry bar
Hollowed rock	くうのいわ	name	object	Hollowed rock
Lamp	ランプ	name	object	Lamp
Candles	ロウソク	name	object	Candles
Chandelier	シャンデリア	name	object	Chandelier
Ice Light	こおりのひり	name	object	Ice Light
Sail	ほ	name	object	Sail
Figurehead	ふねくびぞう	name	object	Figurehead
Pile of rope	ロープのやま	name	object	Pile of rope
Ship's ladder	ふねのハシゴ	name	object	Ship's ladder
Ship's wheel	かじわ	name	object	Ship's wheel
Winch	ウィンチ	name	object	Winch
Anchor	いかり	name	object	Anchor
Hoisted sail	じょうがったほ	name	object	Hoisted sail
Plough	すき	name	object	Plough
Scarecrow	カカシ	name	object	Scarecrow
Hay bales	ほしくさのたわら	name	object	Hay bales
Haystack	ほしくさのやま	name	object	Haystack
Eggs	たまご	name	object	Eggs
Compost	たいひ	name	object	Compost
Hay bale	ほしくさのたわら	name	object	Hay bale
Broken cart	こわしれたカート	name	object	Broken cart
Cart	カート	name	object	Cart
Log pile	まるたのやま	name	object	Log pile
Mud patch	どろのパッチ	name	object	Mud patch
Mudpile	せきまれたどろ	name	object	Mudpile
Potato	ジャガイモ	name	object	Potato
Wheat	しょうむぎ	name	object	Wheat
Broken cart wheel	こわしれたカートのくるまわ	name	object	Broken cart wheel
Cabinet	キャビネット	name	object	Cabinet
Drawers	ひきでし	name	object	Drawers
Boxes	はこ	name	object	Boxes
Barrel	たる	name	object	Barrel
Cupboard	とだな	name	object	Cupboard
Large cupboard	だいきなとだな	name	object	Large cupboard
