english	translation	category	sub_category	source
Talk-to	はなしかける	actions	npc	Tool Leprechaun
Exchange	こうかんする	actions	npc	Tool Leprechaun
Attack	こうげきする	actions	npc	Molanisk
Trade	とりひきする	actions	npc	Hudo
Travel	りょこうする	actions	npc	Rug Merchant
Pet	ペットをなでる	actions	npc	Dog
Guess-letter	もじをあてる	actions	npc	Hangman game
Banish	ほうむする	actions	npc	Hangman game
Reset	リセットする	actions	npc	Hangman game
Hit	なぐる	actions	npc	Combat stone
Dismiss	かえす	actions	npc	Dr Jekyll
Rewards	ほうしゅう	actions	npc	Emblem Trader
Skull	どくろをえらぶ	actions	npc	Emblem Trader
Pay	しはらう	actions	npc	Ayesha
Armour	よろいをみる	actions	npc	Ironman tutor
Check-pets	ペットをかくにんする	actions	npc	Leagues Tutor
Collect-items	アイテムをあつめる	actions	npc	Leagues Tutor
Claim-trophies	トロフィーをもらう	actions	npc	Leagues Tutor
Pick-up	ひろう	actions	npc	Dark core
Metamorphosis	へんしんする	actions	npc	Dark core
Pick	とる	actions	npc	Strange plant
Grab	つかむ	actions	npc	Suspect
Pop	はじく	actions	npc	Balloon Animal
Kill	ころす	actions	npc	Pheasant
Disturb	さまたげる	actions	npc	Phosani's Nightmare
Gauntlets	ガントレットをつける	actions	npc	Avan
Lure	さそう	actions	npc	Rod Fishing spot
Bait	えさをつける	actions	npc	Rod Fishing spot
Pickpocket	すりをはたらく	actions	npc	Guard
Assignment	たいいくをもらう	actions	npc	Turael
Search	さがす	actions	npc	Entomologist
Confront	むかいたつ	actions	npc	Mi-Gor
Transport	はこぶ	actions	npc	Brother Tranquility
Intimidate	おどす	actions	npc	Zombie swab
Fish	つる	actions	npc	Fishing spot
Smash-ice	こおりをこわす	actions	npc	Ice block
Shear	けをかる	actions	npc	Sheep
Knock-Out	ぶんなぐる	actions	npc	Bandit
Bank	よきんをする	actions	npc	Banker
Collect	あつめる	actions	npc	Banker
Check-Approval	みとめをかくにんする	actions	npc	Arnor
Tuxedo-time	タキシードをきる	actions	npc	Larry
Mines	こうざんする	actions	npc	Dartog
Cellar	ちかしつにいく	actions	npc	Dartog
Sew	ぬう	actions	npc	Patchy
Dream	ゆめをみる	actions	npc	Dominic Onion
Take-boat	ふねにのる	actions	npc	Monk of Entrana
Inspect	しらべる	actions	npc	Lumbridge Guide
Trade-General-Store	しょうてんでこうかんする	actions	npc	Razmire Keelgan
Trade-Builders-Store	たてものみせでこうかんする	actions	npc	Razmire Keelgan
Haircut	かみをきる	actions	npc	Hairdresser
Shave	ひげをそる	actions	npc	Hairdresser
Makeover	すがたをかえる	actions	npc	Makeover Mage
Talk-To	はなしかける	actions	npc	Tarquin
Quick-falcon	はやくたかをつかう	actions	npc	Matthias
Retrieve	もどす	actions	npc	Gyr Falcon
Give-Sword	けんをわたす	actions	npc	Tindel Marchant
Mine	さくせきする	actions	npc	Elemental rock
Push	おす	actions	npc	Trolley
Pull	ひく	actions	npc	Trolley
Big-push	おもいきりおす	actions	npc	Trolley
Place	おく	actions	npc	Trolley
Claim-arrows	やじるしをもらう	actions	npc	Rantz
Inflate	ふくらませる	actions	npc	Swamp toad
Pluck	むしる	actions	npc	Chompy bird
Shout-to	さけぶ	actions	npc	Nickolaus
Quick-travel	はやく りょこうする	actions	npc	Desert eagle
Walk-past	あるいてすぎる	actions	npc	Eagle
Threaten	おどす	actions	npc	Kebbit
Small Net	ちいさいあみをつかう	actions	npc	Fishing spot
Net	あみをつかう	actions	npc	Fishing spot
Ammo	だんやくをもらう	actions	npc	Leon
Cage	おりをしかける	actions	npc	Fishing spot
Harpoon	もりをぶっこむ	actions	npc	Fishing spot
Big Net	おおきいあみをつかう	actions	npc	Fishing spot
Use-rod	つりざおをつかう	actions	npc	Fishing spot
