english	translation	category	sub_category	source
Attack	こうげき	interface	generalUI	skillGuide
Weapons	ぶき	interface	generalUI	skillGuide
Bronze	せいどう	interface	generalUI	skillGuide
Iron	てつ	interface	generalUI	skillGuide
Steel	こうてつ	interface	generalUI	skillGuide
Black	くろがね	interface	generalUI	skillGuide
Members: White	かいいん：はくてつ	interface	generalUI	skillGuide
Mithril	ミスリル	interface	generalUI	skillGuide
Adamant	アダマント	interface	generalUI	skillGuide
Members: Battlestaves (with <Num0> Magic)	かいいん：せんじょう(まほう<Num0>も）	interface	generalUI	skillGuide
Rune	ルーン	interface	generalUI	skillGuide
Barronite mace (requires Below Ice Mountain)	バロナイトのつちほこ（「こおりやまのちか」あと）	interface	generalUI	skillGuide
Members: Brine sabre	かいいん：しおみずサーベル	interface	generalUI	skillGuide
Members: Ivandis Flail (requires A Taste of Hope)	かいいん：イバンディスのくさりがま（「きぼうのあじ」あと）	interface	generalUI	skillGuide
Members: Mystic staves (with <Num0> Magic)	かいいん：ひでんのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Void Knight equipment (with <Num0> combat stats and <Num1> Prayer)	かいいん：ヴォイド・ナイトのそうび（かくせんとうスキル<Num0>といのり<Num1>も）	interface	generalUI	skillGuide
Members: Granite maul (with <Num0> Strength)	かいいん：かこうがんのおおづち（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Granite longsword (with <Num0> Strength)	かいいん：かこうがんのちょうけん（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Blisterwood (requires Sins of the Father)	かいいん：ブリスターウッド（「ちちのつみ」あと」）	interface	generalUI	skillGuide
Members: Keris dagger (requires Contact!)	かいいん：ケリスのたんけん（「せつふ！」あと）	interface	generalUI	skillGuide
Members: Ancient staff (requires Desert Treasure I and <Num0> Magic)	かいいん：こだいのつえ（「さばくのたから１」とまほう<Num0>も）	interface	generalUI	skillGuide
Members: Ancient sceptre (requires Secrets of the North, <Num0> Strength and <Num1> Magic)	かいいん：こだいのしゃく（「きたりくのひみつ」とわんりょく<Num0>とまほう<Num1>）	interface	generalUI	skillGuide
Members: Purging staves (with <Num0> Magic)	かいいん：じょうかのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Bone mace	かいいん：ほねのつちほこ	interface	generalUI	skillGuide
Members: Sulphur blades	かいいん：いおうのやいば	interface	generalUI	skillGuide
Members: Glacial temotli	かいいん：ひょうがのテモトリ	interface	generalUI	skillGuide
Members: Dragon	かいいん：りゅうてつ	interface	generalUI	skillGuide
Members: Burning claws	かいいん：もえるかぎづめ	interface	generalUI	skillGuide
Members: Barrelchest Anchor (with <Num0> Strength)	かいいん：バレルチェストのいかり（わんりょく40も）	interface	generalUI	skillGuide
Members: Obsidian weapons	かいいん：こくようせきのぶき	interface	generalUI	skillGuide
Members: Viggora's Chainmace	かいいん：ヴィゴラのくさりつちほこ	interface	generalUI	skillGuide
Members: Colossal Blade	かいいん：でかいブレード	interface	generalUI	skillGuide
Members: <Num0>rd age weapons	かいいん：だい<Num0>きのぶき	interface	generalUI	skillGuide
Members: Sarachnis cudgel	かいいん：サラチニスのこんぼう	interface	generalUI	skillGuide
Members: Zombie axe	かいいん：ゾンビのおの	interface	generalUI	skillGuide
Members: Keris partisan (requires Beneath Cursed Sands)	かいいん：ケリス・パルチザン（「のろいわれたすなのした」あと）	interface	generalUI	skillGuide
Members: Crystal weaponry (with <Num0> Agility)	かいいん：すいしょうのぶき（うんどうしんけい<Num0>も）	interface	generalUI	skillGuide
Members: Saradomin sword	かいいん：サラドミンのけん	interface	generalUI	skillGuide
Members: Zamorakian spear	かいいん：ザモラックのやり	interface	generalUI	skillGuide
Members: Abyssal whip & dagger	かいいん：しんえんのむち、たんけん	interface	generalUI	skillGuide
Members: Abyssal bludgeon (with <Num0> Strength)	かいいん：しんえんのこんぼう（わんりょく70も）	interface	generalUI	skillGuide
Members: Ahrim's staff (with <Num0> Magic)	かいいん：アリムのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Dharok's greataxe (with <Num0> Strength)	かいいん：ダロックのおおおの（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Torag's hammers (with <Num0> Strength)	かいいん：トーラッグのハンマー（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Verac's flail	かいいん：ヴェラックのくさりがま	interface	generalUI	skillGuide
Members: Guthan's warspear	かいいん：ガサンのせんそう	interface	generalUI	skillGuide
Members: Ursine Chainmace	かいいん：ウーサインのくさりつちほこ	interface	generalUI	skillGuide
Members: Avernic defender (with <Num0> Defence)	かいいん：アバーニックのふくかたな（しゅびりょく<Num0>も）	interface	generalUI	skillGuide
Members: Dual Macuahuitl (with <Num0> Strength)	かいいん：にとうりゅうマクアヒートル（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Blue moon spear (with <Num0> Magic)	かいいん：ブルームーンのやり（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Arclight	かいいん：アークライト	interface	generalUI	skillGuide
Members: Godswords	かいいん：しんけん	interface	generalUI	skillGuide
Members: Staff of the Dead (with <Num0> Magic)	かいいん：ししゃのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Staff of Light (with <Num0> Magic)	かいいん：ひかりのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Staff of Balance (with <Num0> Magic)	かいいん：へいこうのつえ（まほう<Num0>も）	interface	generalUI	skillGuide
Members: Abyssal tentacle	かいいん：しんえんのしょくしゅ	interface	generalUI	skillGuide
Members: Blessed Saradomin sword	かいいん：サラドミンのしゅくふくのけん	interface	generalUI	skillGuide
Members: Elder maul (with <Num0> Strength)	かいいん：エルダーのおおづち（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Dinh's bulwark (with <Num0> Defence)	かいいん：ディンのぼうへき（しゅびりょく<Num0>も）	interface	generalUI	skillGuide
Members: Vesta's blighted longsword	かいいん：ベスタのこうはいしたちょうけん	interface	generalUI	skillGuide
Members: Voidwaker	かいいん：ボイドウェーカー	interface	generalUI	skillGuide
Members: Emberlight	かいいん：エンバーライト	interface	generalUI	skillGuide
Members: Dragon hunter lance	かいいん：りゅうがりのランス	interface	generalUI	skillGuide
Members: Ghrazi rapier	かいいん：グラージ・レイピア	interface	generalUI	skillGuide
Members: Inquisitor's mace	かいいん：いたんしんもんかんのつちほこ	interface	generalUI	skillGuide
Members: Blade of Saeldor	かいいん：サードルのやいば	interface	generalUI	skillGuide
Members: Noxious Halberd	かいいん：もうどくのほこやり	interface	generalUI	skillGuide
Members: Scythe of Vitur (with <Num0> Strength)	かいいん：ヴァーチャーのおおかま（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Soulreaper axe (with <Num0> Strength)	かいいん：ソウルリーパーのおの（わんりょく<Num0>も）	interface	generalUI	skillGuide
Members: Variants of Keris partisan (requires Beneath Cursed Sands)	かいいん：ケリス・パルチザンぜんたね（「のろいわれたすなのした」あと）	interface	generalUI	skillGuide
Members: Osmumten's Fang	かいいん：オスマンテンのきば	interface	generalUI	skillGuide
Armour	よろい	interface	generalUI	skillGuide
Salamanders	サラマンダ	interface	generalUI	skillGuide
Armour - Members Only	よろい：かいいんかぎさだめ	interface	generalUI	skillGuide
Void Knight equipment (with <Num0> combat stats and <Num1> Prayer)	ヴォイド・ナイトのそうび（かくせんとうスキル<Num0>といのり<Num1>も）	interface	generalUI	skillGuide
Members: Ferocious Gloves (with <Num0> Defence)	かいいん：ざんにんなてぶくろ（しゅびりょく<Num0>も）	interface	generalUI	skillGuide
Salamanders - Members Only	サラマンダ：かいいんかぎさだめ	interface	generalUI	skillGuide
Swamp lizard (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	ぬまトカゲ（こうげきりょく<Num0>・えんしゃ<Num1>・まほうがぜんて<Num2>）	interface	generalUI	skillGuide
Orange salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	オレンジ・サラマンダ（こうげきりょく<Num0>・えんしゃ<Num1>・まほう<Num2>）	interface	generalUI	skillGuide
Red salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	あかサラマンダ（こうげきりょく<Num0>・えんしゃ<Num1>・まほう<Num2>）	interface	generalUI	skillGuide
Black salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	くろサラマンダ（こうげきりょく<Num0>・えんしゃ<Num1>・まほう<Num2>）	interface	generalUI	skillGuide
Tecu salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	テク・サラマンダ（こうげきりょく<Num0>・えんしゃ<Num1>・まほう<Num2>）	interface	generalUI	skillGuide
Hitpoints	たいりょく	interface	generalUI	skillGuide
Hitpoints are used to tell you how healthy your character is. A character who reaches <Num0> Hitpoints has died, but will reappear in their chosen respawn location (normally Lumbridge).	たいりょくはプレイヤーのけんこうじょうたいをしめします。たいりょくが<Num0>になるとしに、リスポーンちてんでふっかつします（デフォルトはランブリッジ）	interface	generalUI	skillGuide
