english	translation	category	sub_category	source
Destroy	はかい	inventoryActions	item	Dwarf remains
Drop	をおちとす	inventoryActions	item	Cannonball
Read	よむ	inventoryActions	item	Nulodion's notes
Set-up	せっおき	inventoryActions	item	Cannon base
Blow	ふきく	inventoryActions	item	Magic whistle
Ring	なきらす	inventoryActions	item	Grail bell
Blow-on	ふきく	inventoryActions	item	Magic gold feather
Extinguish	きえひ	inventoryActions	item	Lit black candle
Wield	そうび	inventoryActions	item	Excalibur
Wear	きる	inventoryActions	item	Khazard helmet
Empty	をくうにする	inventoryActions	item	Guam potion (unf)
Drink	のみむ	inventoryActions	item	Strength potion(4)
Clean	きれいにする	inventoryActions	item	Grimy guam leaf
Eat	しょくべる	inventoryActions	item	Jangerberries
Equip	そうび	inventoryActions	item	Cattleprod
Plant	うえる	inventoryActions	item	Mithril seeds
Open	ひらきく	inventoryActions	item	Casket
Throw	なげる	inventoryActions	item	Bird feed
Bury	うめる	inventoryActions	item	Bones
Inspect	しらべる	inventoryActions	item	Ghost's skull
Bail-with	ではいすい	inventoryActions	item	Bailing bucket
Activate	はつうごき	inventoryActions	item	Locating crystal
Search	さがしす	inventoryActions	item	Panning tray
Polish	みがきく	inventoryActions	item	Buttons
Look-at	みる	inventoryActions	item	Level 1 certificate
Complete	たっせい	inventoryActions	item	Radimus notes
Swing	ふりわたしる	inventoryActions	item	Bullroarer
Look	みる	inventoryActions	item	Sketch
Enchant-Vials	しやくびんにまほうをふよ	inventoryActions	item	Binding book
Investigate	ちょうさする	inventoryActions	item	Dark dagger
Cast Spell	まほうをかける	inventoryActions	item	Holy force
Hold	つかむ	inventoryActions	item	Gnomeball
Dig	ほる	inventoryActions	item	Spade
Blackout	ブラックアウト	inventoryActions	item	Disk of returning
Check	かくにん	inventoryActions	item	Iban's staff
Locate	ほうむかいかくにん	inventoryActions	item	Air talisman
Rub-together	こすりあわせう	inventoryActions	item	Dry sticks
Study	しらべる	inventoryActions	item	Map part
Rub	こする	inventoryActions	item	Amulet of glory
Empty Bowl	ボールをくうにする	inventoryActions	item	Burnt stew
Mix-cocktail	カクテルをこみぜる	inventoryActions	item	Cocktail shaker
Remove-legs	あしをとりる	inventoryActions	item	Swamp toad
Prepare	じゅんび	inventoryActions	item	Half baked bowl
Empty Tray	トレーをくうにする	inventoryActions	item	Burnt crunchies
Empty Tin	かん	inventoryActions	item	Burnt batta
Empty Dish	さらをキレイにする	inventoryActions	item	Burnt pie
Guzzle	がつがつしょくべる	inventoryActions	item	Rock cake
Play-with	であそぶ	inventoryActions	item	Brown toy horsey
Break	こわしす	inventoryActions	item	Ring of recoil
Toggle-respawn	リスポーンきりかえ	inventoryActions	item	Ring of life
Features	きのう	inventoryActions	item	Ring of wealth
Look through	こえしにみる	inventoryActions	item	Sextant
Check steps	のステップをかくにん	inventoryActions	item	Clue scroll (easy)
Release All	をぜんてひらきはなし	inventoryActions	item	Bloated toad
Release	ひらきはなし	inventoryActions	item	Bloated toad
Check kills	キルかずかくにん	inventoryActions	item	Ogre bow
Fill	まんたす	inventoryActions	item	Druid pouch
Cast Bloom	さくまほう	inventoryActions	item	Silver sickle (b)
Cast	なげる	inventoryActions	item	Druidic spell
Debug	デバッグ	inventoryActions	item	Boss helper tool
Play	プレイ	inventoryActions	item	Lyre
Interact	やりとりをする	inventoryActions	item	Pet rock
Shake	ゆらす	inventoryActions	item	Vase
Remove-lid	フタをとりる	inventoryActions	item	Sealed vase
Preach	せつおしえ	inventoryActions	item	Holy book
View	みる	inventoryActions	item	Spare controls
Listen	きく	inventoryActions	item	Monkey dentures
Poke	とつく	inventoryActions	item	Monkey
Heal	かいふく	inventoryActions	item	Bandages
Loop	ループ	inventoryActions	item	Yo-yo
Walk	ウォーク	inventoryActions	item	Yo-yo
Crazy	クレイジー	inventoryActions	item	Yo-yo
Ride	のりる	inventoryActions	item	Sled
Partner	ペア	inventoryActions	item	Enchanted gem
Log	ログ	inventoryActions	item	Enchanted gem
Repair	しゅうふく	inventoryActions	item	Model ship
Follow	おう	inventoryActions	item	Treasure map
Count	かずえる	inventoryActions	item	Petition form
Check-keys	カギをかくにん	inventoryActions	item	Steel key ring
Dance	おどる	inventoryActions	item	Rubber chicken
Assemble	くみたてる	inventoryActions	item	Base schematics
Spin	かいす	inventoryActions	item	Spinning plate
Remove-one	からいちつとりる	inventoryActions	item	Apples(2)
Build	くみたてる	inventoryActions	item	Rogue kit
Use	つかいう	inventoryActions	item	Null
Slice	スライス	inventoryActions	item	Rotten potato
Peel	むく	inventoryActions	item	Rotten potato
Mash	をつぶしす	inventoryActions	item	Rotten potato
Lletya	レティア	inventoryActions	item	Teleport crystal (4)
Prifddinas	プリフディナス	inventoryActions	item	Teleport crystal (4)
Toggle	きりかえる	inventoryActions	item	Teleport crystal (4)
Uncharge	チャージかいじょ	inventoryActions	item	Broodoo shield (10)
Scan	スキャン	inventoryActions	item	Commorb
Contact	でれんらく	inventoryActions	item	Commorb
Playback	でさいせい	inventoryActions	item	Commorb
Talk-At	にはなしかける	inventoryActions	item	Fishbowl
Play-With	であそぶ	inventoryActions	item	Fishbowl
Feed	エサをあたえる	inventoryActions	item	Fishbowl
Untangle	ほどく	inventoryActions	item	Fishbowl and net
Check-charge	チャージかくにん	inventoryActions	item	Camulet
Display	しめしす	inventoryActions	item	Zombie head
Question	しつもんする	inventoryActions	item	Zombie head
Chant	となえる	inventoryActions	item	Demonic sigil
Feel	をてでかんじる	inventoryActions	item	Enchanted key
Remove-rat	ネズミをとりる	inventoryActions	item	Rat pole
Jump	ジャンプ	inventoryActions	item	Blue marionette
Bow	おじぎする	inventoryActions	item	Blue marionette
Talk-to	はなしかける	inventoryActions	item	Progress hat
Return	もどりる	inventoryActions	item	Prison key
Smell	のにおいをかぐ	inventoryActions	item	Spicy stew
Release-all	をぜんてひらきはなし	inventoryActions	item	Balloon toad
Wind	まきく	inventoryActions	item	Toy soldier
Separate	をべつける	inventoryActions	item	Kbd heads
Unstuff	のちゅうみをとりる	inventoryActions	item	Stuffed crawling hand
Varrock	ヴァロック	inventoryActions	item	Varrock teleport
Grand Exchange	グランド・エクスチェンジ	inventoryActions	item	Varrock teleport
Camelot	カメロット	inventoryActions	item	Camelot teleport
Seers' Village	シアーズむら	inventoryActions	item	Camelot teleport
Watchtower	かんしとう	inventoryActions	item	Watchtower teleport
Yanille	ヤニル	inventoryActions	item	Watchtower teleport
Inside	ちゅう	inventoryActions	item	Teleport to house
Outside	そと	inventoryActions	item	Teleport to house
Group	グループ	inventoryActions	item	Teleport to house
Info	じょうほう	inventoryActions	item	Enchant sapphire or opal
Dust-hands	こなをてにつきける	inventoryActions	item	Ground ashes
Talk-To	はなしかける	inventoryActions	item	Monkey
Invoke	をはつうごき	inventoryActions	item	Skull sceptre
Divine	ののこりりょうかくにん	inventoryActions	item	Skull sceptre
Convert	へんかん	inventoryActions	item	Pharaoh's sceptre
Launch	はなしつ	inventoryActions	item	Grand seed pod
Squash	つぶしす	inventoryActions	item	Grand seed pod
Pour	そそぐ	inventoryActions	item	Mixed blizzard
Add-ingreds	にざいりょうをついか	inventoryActions	item	Mixed saturday
Unpack	とりです	inventoryActions	item	Proselyte harness m
Shape-Earth	つちのかたち	inventoryActions	item	Page 1
Shape-Air	たいきのかたち	inventoryActions	item	Page 1
Shape-Fire	ひのかたち	inventoryActions	item	Page 2
Shape-Water	みずのかたち	inventoryActions	item	Page 2
Shape-Mind	こころのかたち	inventoryActions	item	Page 3
Teleport	ワープ	inventoryActions	item	Strength cape
Toggle Effect	のこうかをきりかえる	inventoryActions	item	Defence cape
Toggle Respawn	リスポーンちてんをきりかえる	inventoryActions	item	Defence cape
Commune	まじしんする	inventoryActions	item	Ranging cape
Spellbook	まみちびきしょをへんこう	inventoryActions	item	Magic cape
Stamina Boost	スタミナをブースト	inventoryActions	item	Agility cape
Tele to POH	いえにワープ	inventoryActions	item	Construct. cape
Fishing Guild	つりギルド	inventoryActions	item	Fishing cape
Otto's Grotto	オットーのどうけつ	inventoryActions	item	Fishing cape
