english	translation	category	sub_category	source
Barbarian Assault	バーバリアン・アサルト	manual	activity	
Blast Furnace	ブラスト・ファーネス	manual	activity	
Castle Wars	キャッスル・ウォーズ	manual	activity	
Fishing Trawler	トロールりょうふね	manual	activity	
Burthorpe Games Room	バーソープのごらくへや	manual	activity	
Nightmare Zone	あくむのりょういき	manual	activity	
Pest Control	ペスト・コントロール	manual	activity	
Rat Pits	ネズミとうぎじょう	manual	activity	
Shades of Mort'ton	モートンのかげ	manual	activity	
Trouble Brewing	じょうぞうトラブル	manual	activity	
TzHaar Fight Pit	ツザーとうぎじょう	manual	activity	
Shield of Arrav	アラヴのたて	manual	activity	
Clan Wars	クランたいせん	manual	activity	
Giants' Foundry	きょじんのちゅうぞうところ	manual	activity	
God Wars	かみせん	manual	activity	
Guardians of the Rift	さけめのしゅごしゃ	manual	activity	
Dagannoth Kings	ダガノス・キング	manual	activity	
Player Owned Houses	プレーヤーのいえ	manual	activity	
Tithe Farm	タイスのうじょう	manual	activity	
Last Man Standing	さいごのひとり	manual	activity	
Volcanic Mine	かざんこうざん	manual	activity	
Theatre of Blood	ちのげきじょう	manual	activity	
Soul Wars	たましいせんあらそ	manual	activity	
Shooting Stars	りゅうれほし	manual	activity	
Tombs of Amascut	アマスカットのはか	manual	activity	
Mage Training Arena	まじゅつしのくんれんところ	manual	activity	
Yes	はい	manual	emote	
No	いいえ	manual	emote	
Bow	おじぎする	manual	emote	
Angry	いかりる	manual	emote	
Think	かんがえる	manual	emote	
Wave	ウェーブ	manual	emote	
Shrug	かたをすくめる	manual	emote	
Cheer	おうえんする	manual	emote	
Beckon	てまねき	manual	emote	
Laugh	わらいう	manual	emote	
Jump for Joy	よろこびのジャンプ	manual	emote	
Yawn	あくび	manual	emote	
Dance	おどる	manual	emote	
Jig	ジグダンス	manual	emote	
Spin	かいす	manual	emote	
Headbang	ヘドバン	manual	emote	
Cry	なきく	manual	emote	
Blow Kiss	なげキス	manual	emote	
Panic	パニック	manual	emote	
Raspberry	からかう	manual	emote	
Clap	はくて	manual	emote	
Salute	けいれい	manual	emote	
Goblin Bow	ゴブリンのおじぎ	manual	emote	
Goblin Salute	ゴブリンのけいれい	manual	emote	
Glass Box	ガラスのはこ	manual	emote	
Climb Rope	ロープをのぼりる	manual	emote	
Lean	きりかかる	manual	emote	
Glass Wall	ガラスのかべ	manual	emote	
Idea	アイデア	manual	emote	
Stamp	ふみなきらす	manual	emote	
Flap	パタパタ	manual	emote	
Slap Head	あたまペチン	manual	emote	
Zombie Walk	ゾンビあるき	manual	emote	
Zombie Dance	ゾンビダンス	manual	emote	
Scared	おびえる	manual	emote	
Rabbit Hop	うさぎだピョン	manual	emote	
Skill Cape	スキルのマント	manual	emote	
Zombie Hand	ゾンビのて	manual	emote	
Air Guitar	エアギター	manual	emote	
Sit up	じょうからだおきこし	manual	emote	
Push up	うでたてふせ	manual	emote	
Star jump	スタージャンプ	manual	emote	
Jog	ジョギング	manual	emote	
Flex	すじにくじまん	manual	emote	
Hypermobile Drinker	ハイパーモバイル・ドリンカー	manual	emote	
Uri transform	ウリにへんしん	manual	emote	
Smooth dance	なめらかなダンス	manual	emote	
Crazy dance	ヤバいダンス	manual	emote	
Premier Shield	プレミアのたて	manual	emote	
Explore	たんけん	manual	emote	
Relic unlock	いぶつのときはなし	manual	emote	
Party	パーティー	manual	emote	
Trick	トリック	manual	emote	
Fortis Salute	フォーティスのけいれい	manual	emote	
Crab dance	かにダンス	manual	emote	
Sit down	ざる	manual	emote	
Bald	スキンヘッド	manual	hair_beard	
Dreadlocks	ドレッドヘア	manual	hair_beard	
Long	ながい	manual	hair_beard	
Medium	ちゅうきゅう	manual	hair_beard	
Tonsure	トンスール	manual	hair_beard	
Short	たんい	manual	hair_beard	
Cropped	きった	manual	hair_beard	
Wild spikes	あばれたトゲ	manual	hair_beard	
Spikes	スパイク	manual	hair_beard	
Mohawk	モホーク	manual	hair_beard	
Wind braids	かぜのあみ	manual	hair_beard	
Quiff	クイフ	manual	hair_beard	
Samurai	さむらい	manual	hair_beard	
Princely	おうじらしい	manual	hair_beard	
Curtains	カーテン	manual	hair_beard	
Long curtains	ながいカーテン	manual	hair_beard	
Front split	フロントスプリット	manual	hair_beard	
Tousled	ボサボサ	manual	hair_beard	
Side wedge	サイドウェッジ	manual	hair_beard	
Front wedge	フロントウェッジ	manual	hair_beard	
Front spikes	まえがみスパイク	manual	hair_beard	
Frohawk	フロホーク	manual	hair_beard	
Rear skirt	うしろスカート	manual	hair_beard	
Queue	ポニーテール	manual	hair_beard	
Bun	おだんご	manual	hair_beard	
Pigtails	ツインテール	manual	hair_beard	
Earmuffs	みみあて	manual	hair_beard	
Side pony	サイドポニー	manual	hair_beard	
Curls	カール	manual	hair_beard	
Ponytail	ポニーテール	manual	hair_beard	
Braids	せんおい	manual	hair_beard	
Bunches	おさげ	manual	hair_beard	
Bob	ボブ	manual	hair_beard	
Layered	そうかさね	manual	hair_beard	
Straight	すとれート	manual	hair_beard	
Straight Braids	ストレートみつあみ	manual	hair_beard	
Two-back	ツーバック	manual	hair_beard	
Mullet	マレット	manual	hair_beard	
Undercut	アンダーカット	manual	hair_beard	
Low Bun	ていいおだんご	manual	hair_beard	
Messy Bun	ぼさぼさおだんご	manual	hair_beard	
Pompadour	ポンパドール	manual	hair_beard	
Afro	アフロ	manual	hair_beard	
Short locs	みじかいロックス	manual	hair_beard	
Spiky Mohawk	とげとげの モホーク	manual	hair_beard	
Slicked Mohawk	なでつけモヒカン	manual	hair_beard	
Long Quiff	ながい クイフ	manual	hair_beard	
Short Choppy	みじかいぎざぎざ	manual	hair_beard	
Side Afro	よこアフロ	manual	hair_beard	
Punk	パンク	manual	hair_beard	
Half-shaved	はんぶんぞりおろし	manual	hair_beard	
Fremennik	フレメニック	manual	hair_beard	
Elven	エルフのようなかみかた	manual	hair_beard	
Medium Coils	ちゅうがたのこいる	manual	hair_beard	
High ponytail	たかいぽにーてーる	manual	hair_beard	
Plaits	みつあみ	manual	hair_beard	
High Bunches	たかいおさげ	manual	hair_beard	
None	なし	manual	hair_beard	
Goatee	ひげやぎ	manual	hair_beard	
Handlebar	はんどるばーひげ	manual	hair_beard	
Moustache	ひげ	manual	hair_beard	
Pointy	さきのするどいひげ	manual	hair_beard	
Split	べつける	manual	hair_beard	
Mutton	ひつじのひげ	manual	hair_beard	
Full Mutton	まんぱいひつじひげ	manual	hair_beard	
Big Moustache	おおきいひげ	manual	hair_beard	
Waxed Moustache	ろうかけひげ	manual	hair_beard	
Dali	だりひげ	manual	hair_beard	
Vizier	ばいぜてひげ	manual	hair_beard	
Rimmington	リミングトン	manual	location	
Taverley	タベリー	manual	location	
Pollnivneach	ポルニヴネッチ	manual	location	
Rellekka	レレカ	manual	location	
Brimhaven	ブリムヘブン	manual	location	
Yanille	ヤニル	manual	location	
Hosidius	ホシディアス	manual	location	
Prifddinas	プリフディナス	manual	location	
Ardougne	アルドイン	manual	location	
Desert	さばく	manual	location	
Falador	ファラドー	manual	location	
Fremennik	フレメニック	manual	location	
Kandarin	カンダリン	manual	location	
Karamja	カラムジャ	manual	location	
Lumbridge & Draynor	ランブ…ドレイナー	manual	location	
Morytania	モリタニア	manual	location	
Varrock	ヴァロック	manual	location	
Western Provinces	にしぶちほう	manual	location	
Wilderness	ウィルダネス	manual	location	
Kourend & Kebos	クーレンドとケボス	manual	location	
Shayzien	シェイジェン	manual	location	
Arceuus	アルセウス	manual	location	
Lovakengj	ろばけんじ	manual	location	
Piscarilius	ぴすかりりうす	manual	location	
Al Kharid	アル・カリッド	manual	location	
Burgh de Rott	バーグ・ドゥ・ロット	manual	location	
Burthorpe	バーソープ	manual	location	
Canifis	かにふぃす	manual	location	
Kharidian Desert	はりどりあんあばく	manual	location	
Dorgesh-Kaan	どるげっしゅかーん	manual	location	
Draynor Village	ドレイナーむら	manual	location	
Entrana	えんとらな	manual	location	
Feldip Hills	ふぇるでぃっぷおか	manual	location	
Gnome Stronghold	ねーむきょうしい	manual	location	
Goblin Village	ゴブリンのむら	manual	location	
Isafdar	イサフダー	manual	location	
Kebos Lowlands	けぼすていち	manual	location	
Keldagrim	けるだぐりむ	manual	location	
Kingstown	おうむちゃくまち	manual	location	
Lletya	レティア	manual	location	
Lumbridge	ランブリッジ	manual	location	
Lunar Isle	ルーナしま	manual	location	
Meiyerditch	めいあーでぃっち	manual	location	
Miscellania	ミセラニア	manual	location	
Mort'ton	もーと・とん	manual	location	
Mos Le'Harmless	もす・れはーむれす	manual	location	
Nardah	ナーダ	manual	location	
Port Phasmatys	ぽーとふぁすまてぃす	manual	location	
Port Piscarilius	ピスカリリウスみなと	manual	location	
Piscatoris	ぴすかとりす	manual	location	
Port Sarim	サリムみなと	manual	location	
Seers' Village	シアーズむら	manual	location	
Shilo Village	シャイロむら	manual	location	
Silvarea	ぎんのちいき	manual	location	
Slepe	スレペ	manual	location	
Sophanem	そぴあねむ	manual	location	
Tai Bwo Wannai	たい・ぶぅあ・わんない	manual	location	
Tree Gnome Village	ツリー・ノームのむら	manual	location	
Troll Stronghold	トロールようさい	manual	location	
Witchaven	うぃっちあべん	manual	location	
Civitas illa Fortis	シビリタス・イラ・フォーチス	manual	location	
Avium Savannah	あびあむさばんな	manual	location	
Slayer Tower	とうばつのとう	manual	location	
Catacombs of Kourend	くーれんどちかしききゅうじゅ	manual	location	
Stronghold Slayer Dungeon	きょうしいくがんくぢゅんじょん	manual	location	
Karuulm Slayer Dungeon	かるーむくぢゅんじょん	manual	location	
Chasm of Fire	あつえきのたけ	manual	location	
Brimhaven Dungeon	ぶりむはーべんくぢゅんじょん	manual	location	
Taverley Dungeon	たばーりーくぢゅんじょん	manual	location	
Witchaven Dungeon	うぃっちあべんくぢゅんじょん	manual	location	
Waterfall Dungeon	すいろくぢゅんじょん	manual	location	
God Wars Dungeon	かみだんそうくぢゅんじょん	manual	location	
Kalphite Lair	かるふぁいとのすみか	manual	location	
task-only Kalphite Cave	たすくおんりーかるふぁいとどうくつ	manual	location	
Kraken Cove	くらーけんのいりえ	manual	location	
Waterbirth Island	ウォーターバースしま	manual	location	
Lizardman Canyon	とかげじんかくたに	manual	location	
Lizardman Settlement	とかげじんてーく	manual	location	
Smoke Devil Dungeon	けむりあくまくぢゅんじょん	manual	location	
Death Plateau	しのこうはら	manual	location	
South of Mount Quidamortem	くぃだもーてむやまみなみ	manual	location	
Fremennik Slayer Dungeon	フレメニック モンスターとうぶつ どうくつ	manual	location	
Myths' Guild Dungeon	しんわぎるどくぢゅんじょん	manual	location	
Mourner Tunnels	そうしゃずいどう	manual	location	
Lithkren Vault	りすくれんしょきんこ	manual	location	
Ancient Cavern	こだいもうくつ	manual	location	
Stronghold of Security	あんぜんきょうしい	manual	location	
Fossil Island	かせきじま	manual	location	
Asgarnian Ice Dungeon	あすがるにあこおりくぢゅんじょん	manual	location	
Ogre Enclave	おうがあじと	manual	location	
Brine Rat Cavern	えんすいねずみもうくつ	manual	location	
Zanaris	ざなりす	manual	location	
In the Lighthouse	ときあかりたあぷらあ	manual	location	
Smoke Dungeon	けむりくぢゅんじょん	manual	location	
Evil Chicken's Lair	あくどりのすみか	manual	location	
The Abyss	くうこく	manual	location	
Molch	もるち	manual	location	
Kebos Swamp	けぼすぬまち	manual	location	
The Battlefront	せんせん	manual	location	
Forthos Dungeon	ふぉーとすくぢゅんじょん	manual	location	
Iorwerth Dungeon	いおるうぇるすくぢゅんじょん	manual	location	
Jormungand's Prison	よるむんがんどろう	manual	location	
Darkmeyer	ダークメヤー	manual	location	
Meiyerditch Laboratories	めいあーでぃっちじっけんしつ	manual	location	
Isle of Souls	たましいのしま	manual	location	
Giants' Den	おおきんのあな	manual	location	
Fremennik Isles	ふれめんにくしま	manual	location	
Poison Waste Dungeon	どくえきすてきくぢゅんじょん	manual	location	
Neypotzli	ねいぽつりー	manual	location	
The Teomat	ておまと	manual	location	
Sunset Coast	ゆうやけかいがん	manual	location	
Hunter Guild	かりゅうどギルド	manual	location	
Cam Torum Entrance	かむ・とーらむいりぐち	manual	location	
Colossal Wyrm Remains	きょだいりゅうのこし	manual	location	
Outer Fortis	そときょうしい	manual	location	
Fortis Colosseum	フォーティスとうぎじょう	manual	location	
Ice Mountain	こおりやま	manual	location	
Corsair Cove	かいぞくいりえ	manual	location	
Shayzien Graveyard of Heroes	しゃいじえんえいゆうはかば	manual	location	
Southern coast of Hosidius	ほしでぃうすかいがんみなみ	manual	location	
Draynor Manor cellar	でるたいのろうそくずか	manual	location	
Wizards' Tower	まほうつかいのとう	manual	location	
Ardougne Rat Pits	あーどおうぐねねずみあな	manual	location	
The Kendal's cave	けんだるのどうくつ	manual	location	
Ruins of Uzer	ゆぜるいせき	manual	location	
Crabclaw Caves or Waterbirth Island Dungeon	かにめどうくつあるいはみずうみしまくぢゅんじょん	manual	location	
Chaos Altar	かおすさいだん	manual	location	
Wyvern Cave on Fossil Island	かせきしまりゅうどうくつ	manual	location	
Trollweiss Mountain	とろーるしろやま	manual	location	
Death Altar	しさいだん	manual	location	
Mos Le'Harmless Cave	もす・れはーむれすどうくつ	manual	location	
Coronation ceremony during A Kingdom Divided.	おうしょくしきちゅうおうこくぶんれつ	manual	location	
Fight with the Giant Roc during My Arm's Big Adventure.	きょうだいがんたたかいちゅうわたしのうでのおおぼうけん	manual	location	
Scorpia's cave beneath the Scorpion Pit.	さそりあなしたすこーぴあのどうくつ	manual	location	
Beneath Cursed Sands	のろいわれたすなのした	manual	location	
Perilous Moons	きけんなつき	manual	location	
PvP Arena	PvPアリーナ	manual	location	
Castle Wars	キャッスル・ウォーズ	manual	location	
Ferox Enclave	フェロックス・オンクレーブ	manual	location	
Warrior's Guild	せんしギルド	manual	location	
Champion's Guild 	ちゃんぴおんぎるど	manual	location	
Monestery	いんしゃ	manual	location	
Ranging Guild	えんしゃギルド	manual	location	
Grand Exchange	グランド・エクスチェンジ	manual	location	
Falador Park	ファラドーこうえん	manual	location	
Dondakan's Rock	ドンダカンのいわ	manual	location	
Barbarian Outpost	ばんぞくのまえしょうきち	manual	location	
Corporeal Beast	コーポリアル・ビースト	manual	location	
Tears of Guthix	ガシックスのなみだ	manual	location	
Wintertodt Camp	ウィンタートッド・キャンプ	manual	location	
Fishing Guild	つりギルド	manual	location	
Mining Guild	さいくつギルド	manual	location	
Crafting Guild	こうさくギルド	manual	location	
Cooking Guild	りょうりギルド	manual	location	
Woodcutting Guild	きこりギルド	manual	location	
Farming Guild	のうぎょうギルド	manual	location	
Edgeville	エッジビル	manual	location	
Vision	ビジョン	manual	music	
at the Wizards' Tower.	ようしゃたわーあと	manual	music	
Volcanic Vikings	かざんのバイキング	manual	music	
on Neitiznot.	ねいてぃずのっとじょう	manual	music	
Voodoo Cult	ブードゥーおしえのカルト	manual	music	
during the Legends' Quest.	でんせつのクエストちゅう	manual	music	
Voyage	たび	manual	music	
at Baxtorian Falls.	ばくすとりあのたきあと	manual	music	
Waiting Game, The	またすゲーム	manual	music	
The Waiting Game	たいきせんじゅつ	manual	music	
in the Soul Wars lobby.	たましいせんそうでんいえあ	manual	music	
Waking Dream	しろひるゆめ	manual	music	
