english	translation	category	sub_category	source
Dwarf remains	ドワーフのいたい	name	item	Dwarf remains
Toolkit	ツールキット	name	item	Toolkit
Cannonball	たいほうのだん	name	item	Cannonball
Nulodion's notes	ヌロディオンのメモ	name	item	Nulodion's notes
Ammo mould	たいほうだんのいがた	name	item	Ammo mould
Instruction manual	とりあつかいせつめいしょ	name	item	Instruction manual
Cannon base	たいほうのだい	name	item	Cannon base
Cannon stand	たいほうのスタンド	name	item	Cannon stand
Cannon barrels	たいほうのほうしん	name	item	Cannon barrels
Cannon furnace	たいほうのろ	name	item	Cannon furnace
Railing	てすり	name	item	Railing
Holy table napkin	せいなるテーブルナプキン	name	item	Holy table napkin
Magic whistle	まほうのふえ	name	item	Magic whistle
Grail bell	せいはいのかね	name	item	Grail bell
Magic gold feather	まほうのきんのはね	name	item	Magic gold feather
Holy grail	せいはい	name	item	Holy grail
White cog	しろいはぐるま	name	item	White cog
Black cog	くろいはぐるま	name	item	Black cog
Blue cog	あおいはぐるま	name	item	Blue cog
Red cog	あかいはぐるま	name	item	Red cog
Rat poison	ネズミどく	name	item	Rat poison
Red vine worm	あかいツルむし	name	item	Red vine worm
Fishing trophy	つりトロフィー	name	item	Fishing trophy
Fishing pass	つりきょかしょう	name	item	Fishing pass
Insect repellent	ぼうちゅうざい	name	item	Insect repellent
Bucket of wax	ロウのバケツ	name	item	Bucket of wax
Lit black candle	ひのついたくろいロウソク	name	item	Lit black candle
Lit candle	ひのついたロウソク	name	item	Lit candle
Null	ヌル	name	item	Null
Excalibur	エクスカリバー	name	item	Excalibur
Candle	ロウソク	name	item	Candle
Black candle	くろいロウソク	name	item	Black candle
Bronze arrowtips	せいどうのやじり	name	item	Bronze arrowtips
Iron arrowtips	てつのやじり	name	item	Iron arrowtips
Steel arrowtips	こうてつのやじり	name	item	Steel arrowtips
Mithril arrowtips	ミスリルのやじり	name	item	Mithril arrowtips
Adamant arrowtips	アダマントのやじり	name	item	Adamant arrowtips
Rune arrowtips	ルーンのやじり	name	item	Rune arrowtips
Opal bolt tips	オパールのボルトチップ	name	item	Opal bolt tips
